r,l,t
36967.34857,281,1126.481747
40634.260938,269,1126.883779
45956.121548,272,1127.294886
46242.544372,279,1127.712248
43874.210895,293,1128.131237
34731.696722,275,1130.200088
48562.335167,299,1130.621893
56178.885474,275,1131.052212
52663.190652,280,1131.527553
49336.086016,265,1131.945293
36012.926706,263,1132.357062
36259.572812,275,1132.762111
42051.316983,256,1134.567204
45999.091138,280,1135.019247
47906.806971,274,1135.444389
45673.988409,276,1135.877285
49935.766088,288,1136.289005
40632.214178,269,1136.72675
43568.279587,260,1137.143532
42902.384155,279,1137.552248
48453.12207,294,1139.434659
41579.67395,273,1139.868294
48674.844458,267,1140.282701
51611.985083,282,1140.701677
40511.769772,261,1141.115499
46829.110694,284,1141.581388
41422.898815,265,1142.143498
49748.000292,285,1144.141572
49209.593458,278,1144.589606
45561.440292,275,1144.998058
41832.43256,264,1145.43011
48589.353687,271,1145.878374
50628.710456,277,1146.310233
42865.545824,262,1146.789083
47335.191483,260,1147.214099
47307.332632,273,1149.251513
43282.269454,285,1149.677892
47477.442577,278,1150.113604
46036.870591,283,1150.557667
42204.594975,255,1150.961807
46940.865706,280,1151.392142
45173.885406,278,1151.842103
41179.338713,265,1153.765243
40643.325215,256,1154.179236
41462.790017,265,1154.5927
45160.487573,268,1155.008384
40685.863601,263,1155.416896
49954.582556,262,1155.809885
38120.213075,245,1156.210662
43386.047964,256,1156.616133
53311.23281,284,1158.530668
50845.169507,278,1158.916563
45223.050781,252,1159.329729
46761.800781,259,1159.72701
44668.084964,271,1160.154274
42804.774809,257,1160.59384
55491.017623,292,1161.025799
43909.252002,249,1161.412517
50099.502337,266,1163.385376
51494.914062,272,1163.781546
43950.707141,252,1164.195749
45451.281293,243,1164.618216
46178.670474,250,1165.0044
38785.503234,256,1165.409217
44948.905068,263,1165.827809
50760.792019,274,1166.256419
45415.699525,260,1168.213452
49577.676861,259,1168.625924
39667.675854,239,1169.033396
40926.215479,261,1169.428217
48514.531489,261,1169.814386
47345.165828,222,1170.208087
47513.996339,247,1170.58559
48435.82103,265,1171.01872
48619.712744,267,1172.827006
46194.671139,240,1173.243934
42215.964633,270,1173.804438
40694.802031,257,1174.201403
44572.569751,275,1174.644315
42055.570108,248,1175.01615
43765.542984,249,1175.410562
46087.289038,266,1175.834415
40967.959961,252,1177.642729
40730.911703,263,1178.026855
46857.928021,250,1178.489403
40604.892466,261,1178.890035
44412.708388,261,1179.282848
39209.951196,246,1179.682503
40440.059758,267,1180.086076
50027.479471,280,1180.508262
44538.415649,264,1182.463712
50970.117065,243,1182.865024
50651.859326,274,1183.278948
41117.093896,197,1183.679784
38497.359257,261,1184.068061
46330.121797,273,1184.486311
42831.180902,257,1184.893526
46389.662654,256,1185.291078
44763.666008,267,1187.151552
42596.642303,247,1187.561132
45416.991318,263,1187.969419
48881.645898,260,1188.367712
41097.859103,259,1188.787621
43429.228472,256,1189.177039
57195.813559,278,1189.603386
47447.574643,239,1189.977259
40736.243724,264,1191.859692
42835.782178,264,1192.287282
46357.438086,260,1192.694182
51608.527539,263,1193.085154
56279.003849,273,1193.5123
44042.558747,252,1193.93074
40255.017871,249,1194.341806
43820.060509,242,1194.735179
52858.862602,269,1196.600084
52802.052995,258,1197.003199
62101.686973,289,1197.439934
50187.803603,249,1197.825738
43371.467316,251,1198.235974
42456.236365,247,1198.655442
43927.734741,261,1199.111953
44377.120068,260,1200.907899
49299.995872,284,1201.350657
47442.321522,237,1201.762078
45248.813161,271,1202.199012
43517.67028,267,1202.590966
38781.233839,267,1203.103904
45250.127808,257,1203.500252
37739.621602,267,1203.955071
51210.080734,287,1205.910954
55358.380849,272,1206.316154
48138.402779,255,1206.700117
43648.342003,279,1207.105301
39676.721188,269,1207.51018
40535.736074,255,1207.883587
49983.631633,253,1208.326405
59191.532446,215,1208.683925
44329.018499,255,1210.582398
45521.081235,223,1210.967083
49760.009929,282,1211.37675
55202.176416,245,1211.772799
47256.072535,277,1212.236387
43037.373722,260,1212.627191
40381.9586,271,1213.036112
48186.710615,245,1213.416822
47787.657983,261,1215.411547
42480.774102,262,1215.785102
39739.817311,260,1216.201741
47246.388672,239,1216.632455
40586.478722,263,1217.040587
41772.145577,268,1217.442469
48019.298999,277,1217.860472
37495.838732,265,1218.301474
45102.324751,270,1220.317199
40039.397729,226,1220.770225
41234.437735,262,1221.151255
39040.249203,270,1221.564944
41012.742619,233,1221.986296
52680.089528,263,1222.404729
38311.654645,266,1222.809601
39317.11521,238,1223.212446
40957.479736,246,1225.238496
44783.835447,258,1225.608812
44352.949128,260,1226.023339
48445.175787,246,1226.38468
49315.807056,260,1226.784746
44715.283019,256,1227.174613
40338.325234,246,1227.560818
45740.899624,264,1227.951358
44272.821948,230,1229.864757
44640.17853,263,1230.291244
47143.678809,256,1230.675835
44081.637085,268,1231.077459
45616.379881,261,1231.468262
44219.978247,271,1231.892508
40042.126305,261,1232.297586
43284.775738,278,1232.856915
47513.863295,269,1234.837164
49863.169519,258,1235.326315
44901.08206,254,1235.76416
54272.202499,267,1236.193561
56196.511856,264,1236.58472
44900.545068,268,1236.993341
50473.10769,261,1237.399904
51905.617643,249,1237.791232
42384.287369,255,1239.698286
42394.40174,259,1240.107801
40516.086615,227,1240.553422
