#{"t_start": 1776670605.7900777, "env_id": "None"}
r,l,t
-7472.966042,1080,180.41764
-18240.251386,1080,181.052375
-5555.075846,1080,182.501872
-6559.719904,1080,183.105563
-10.150617,1080,184.496581
-6822.040064,1080,185.097386
-13412.176901,1080,186.42819
-6005.945414,1080,187.033781
-13225.568152,1080,188.321034
-965.812725,1080,188.929359
-10676.582844,1080,190.276949
-10618.279339,1080,190.882652
-15870.37767,1080,192.182899
-1136.803856,1080,192.783552
-14226.810967,1080,194.078006
-16278.43972,1080,194.679472
-5722.384522,1080,196.041027
-13183.468462,1080,197.375519
-7377.167164,1080,198.030653
-20205.446936,1080,199.335838
-5553.645652,1080,199.950824
-23672.801551,1080,201.35756
-18357.032516,1080,201.956377
-12647.686927,1080,203.301189
-12096.618417,1080,203.91411
-12735.507353,1080,205.250556
-13960.404908,1080,205.848681
-991.578991,1080,207.258769
-9721.269566,1080,207.872994
-12553.036832,1080,209.292626
-14585.718747,1080,209.892359
-7264.314595,1080,211.228481
-1155.568876,1080,211.816105
-10469.649184,1080,213.171064
-9967.979737,1080,214.517808
-25141.9152,1080,215.189014
-13733.841439,1080,216.518109
-17262.665836,1080,217.162981
-7569.439901,1080,218.518025
-1152.589737,1080,219.131539
-11773.419969,1080,220.502913
-16905.694325,1080,221.11839
-5806.317005,1080,222.504865
-10983.74991,1080,223.111897
-4898.796164,1080,224.527368
-13875.717682,1080,225.124563
-6998.801839,1080,226.467432
-9652.804676,1080,227.065672
4721.377297,1080,228.356275
-1569.769829,1080,228.955452
-2687.405883,1080,230.269901
-1398.605758,1080,230.872722
-7702.700437,1080,232.322729
-2797.448113,1080,233.62505
3002.200878,1080,234.24851
-2870.531234,1080,235.654151
-1408.574828,1080,236.26614
-376.547321,1080,237.691879
-5285.618523,1080,238.269714
3659.026397,1080,239.585237
-1078.128331,1080,240.168735
-16631.472894,1080,241.600749
-3542.681689,1080,242.191254
-8437.642513,1080,243.587773
1504.347147,1080,244.179621
-7381.835787,1080,245.659724
-10125.406525,1080,246.280223
-2968.454211,1080,247.797747
-2852.844062,1080,248.399088
-11228.395507,1080,249.812064
-3273.420387,1080,251.187351
-1171.189531,1080,251.876373
-7888.546007,1080,253.248888
-2188.009844,1080,253.896407
-8264.38836,1080,255.210412
-3401.782284,1080,255.813313
-7283.550004,1080,257.202072
-8313.945195,1080,257.814663
-11718.563868,1080,259.160148
-18240.566063,1080,259.77175
-10087.90273,1080,261.152027
-7607.285137,1080,261.758762
-10026.314261,1080,263.104383
-29266.746904,1080,263.714067
-4121.952695,1080,265.040134
-1274.472843,1080,265.637799
-5391.85133,1080,267.031008
-2833.05026,1080,267.626448
1193.664017,1080,269.024611
-3999.647257,1080,270.361461
-5640.601658,1080,271.015406
-5125.695331,1080,272.312965
-1556.505431,1080,272.958871
-5625.906025,1080,274.379305
75.458792,1080,274.980208
-2834.290144,1080,276.348301
-591.692628,1080,276.961413
-14243.180832,1080,278.322759
-5272.081053,1080,278.927014
-9804.858188,1080,280.333729
-7404.341026,1080,280.94925
-4067.973379,1080,282.423069
-7759.431965,1080,283.037662
-116.328183,1080,284.437128
-12075.472684,1080,285.039643
-8460.112727,1080,286.472241
1633.346312,1080,287.077458
-10125.149388,1080,288.417724
-86.189844,1080,289.786742
-10469.962137,1080,290.416907
-382.568271,1080,291.805773
-2735.363482,1080,292.430804
-6104.22218,1080,293.803343
-3749.316674,1080,294.397755
-8467.172601,1080,295.769062
-6453.400496,1080,296.373215
-3178.330888,1080,297.672333
-2203.231503,1080,298.271328
-495.216487,1080,299.627606
-7564.956136,1080,300.228306
-13924.486241,1080,301.588099
-1810.72782,1080,302.207819
-9495.374618,1080,303.58646
-4948.404977,1080,304.191291
-4920.819797,1080,305.545883
-6779.350145,1080,306.854505
-6817.441099,1080,307.533756
-16089.193098,1080,308.82413
-2653.790921,1080,309.460725
-7512.65781,1080,310.891375
-6171.664394,1080,311.496511
-1557.066583,1080,312.829375
-5132.731195,1080,313.428829
-1469.229357,1080,314.757682
-3765.785977,1080,315.359424
-5475.533631,1080,316.718661
-8120.060129,1080,317.328837
-3549.380663,1080,318.650932
-13426.148649,1080,319.249979
-3975.868903,1080,320.587349
-7314.201002,1080,321.199562
-8910.159783,1080,322.568355
-206.870112,1080,323.174271
-706.18045,1080,324.581475
-7983.661726,1080,325.860757
-7728.531674,1080,326.525678
1829.791843,1080,327.893274
-7845.432735,1080,328.511076
537.936696,1080,329.906485
-6806.412349,1080,330.514576
-10127.301991,1080,331.843002
-1456.31777,1080,332.445037
-10394.953439,1080,333.825977
-8640.973144,1080,334.438785
-13929.766262,1080,335.787415
-5318.924107,1080,336.385003
-4009.1657,1080,337.811375
1933.738483,1080,338.412537
-9786.089053,1080,339.766741
-5490.245975,1080,340.373645
-4096.189042,1080,341.78461
-2462.924599,1080,342.389902
-6196.336104,1080,343.75346
-6709.128876,1080,345.090744
-13113.410879,1080,345.722254
-5275.457043,1080,347.055824
-8758.323991,1080,347.681591
-6718.255101,1080,349.02371
-9301.144498,1080,349.621391
-10682.90182,1080,350.949106
-410.397346,1080,351.548409
-11708.41792,1080,352.946638
-5094.193671,1080,353.54277
-3297.070844,1080,354.881234
-15429.176884,1080,355.488699
-18166.541702,1080,356.894516
-6762.221262,1080,357.498364
-14382.161689,1080,358.82847
-15536.83354,1080,359.43034
-7212.604759,1080,360.84959
-4801.181185,1080,362.136618
-11715.537169,1080,362.797253
-12655.056377,1080,364.12754
-15216.922278,1080,364.758572
-13025.807191,1080,366.194567
-18016.39617,1080,366.795547
-24732.807047,1080,368.193376
-19912.688948,1080,368.79233
-2949.682419,1080,370.223622
-1204.538821,1080,370.81439
-12144.851403,1080,372.148236
-17765.10087,1080,372.756114
-19793.945866,1080,374.100034
-19193.866471,1080,374.709115
-14564.603362,1080,376.099896
-15306.734712,1080,376.694854
-12610.783495,1080,378.137751
-22502.950331,1080,378.750178
-17176.196947,1080,380.127003
-9494.903757,1080,381.43205
-23239.673189,1080,382.100031
-11674.720739,1080,383.551827
-2149.720766,1080,384.180914
-12306.503383,1080,385.512801
-10296.281854,1080,386.113712
-10744.083648,1080,387.493455
-6185.033088,1080,388.093951
-8695.362417,1080,389.431638
-30337.105307,1080,390.050564
-11034.841153,1080,391.436568
