step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
9010 -> 9010,0.1,1_惰行,7.6 -> 7.6,2.872 -> 2.872,0.0,0.0,0.0,-20.6,-21.6
9020 -> 9020,0.1,1_惰行,7.3 -> 7.3,2.872 -> 2.872,0.0,0.0,0.0,-20.6,-21.6
9030 -> 9030,0.1,1_惰行,7.1 -> 7.1,2.873 -> 2.873,0.0,0.0,0.0,-20.5,-21.5
9040 -> 9040,0.1,1_惰行,6.8 -> 6.8,2.873 -> 2.873,0.0,0.0,0.0,-20.5,-21.5
9050 -> 9050,0.1,1_惰行,6.6 -> 6.6,2.874 -> 2.874,0.0,0.0,0.0,-20.5,-21.5
9060 -> 9060,0.1,1_惰行,6.3 -> 6.3,2.874 -> 2.874,0.0,0.0,0.0,-20.5,-21.5
9070 -> 9070,0.1,1_惰行,6.1 -> 6.1,2.875 -> 2.875,0.0,0.0,0.0,-20.5,-21.5
9080 -> 9080,0.1,1_惰行,5.9 -> 5.9,2.875 -> 2.875,0.0,0.0,0.0,-20.5,-21.5
9090 -> 9090,0.1,1_惰行,5.6 -> 5.6,2.876 -> 2.876,0.0,0.0,0.0,-20.4,-21.4
9100 -> 9100,0.1,1_惰行,5.4 -> 5.4,2.876 -> 2.876,0.0,0.0,0.0,-20.4,-21.4
9110 -> 9110,0.1,1_惰行,5.1 -> 5.1,2.877 -> 2.877,0.0,0.0,0.0,-20.4,-21.4
9120 -> 9120,0.1,1_惰行,4.9 -> 4.9,2.877 -> 2.877,0.0,0.0,0.0,-20.4,-21.4
9130 -> 9130,0.1,1_惰行,4.6 -> 4.6,2.877 -> 2.877,0.0,0.0,0.0,-20.4,-21.4
9140 -> 9140,0.1,1_惰行,4.4 -> 4.4,2.878 -> 2.878,0.0,0.0,0.0,-20.3,-21.3
9150 -> 9150,0.1,1_惰行,4.2 -> 4.2,2.878 -> 2.878,0.0,0.0,0.0,-20.3,-21.3
9160 -> 9160,0.1,1_惰行,3.9 -> 3.9,2.878 -> 2.878,0.0,0.0,0.0,-20.3,-21.3
9170 -> 9170,0.1,1_惰行,3.7 -> 3.7,2.879 -> 2.879,0.0,0.0,0.0,-20.3,-21.3
9180 -> 9180,0.1,1_惰行,3.4 -> 3.4,2.879 -> 2.879,0.0,0.0,0.0,-20.3,-21.3
9190 -> 9190,0.1,1_惰行,3.2 -> 3.2,2.879 -> 2.879,0.0,0.0,0.0,-20.2,-21.2
9200 -> 9200,0.1,1_惰行,3.0 -> 3.0,2.879 -> 2.879,0.0,0.0,0.0,-20.2,-21.2
9210 -> 9210,0.1,1_惰行,2.7 -> 2.7,2.880 -> 2.880,0.0,0.0,0.0,-20.2,-21.2
9220 -> 9220,0.1,1_惰行,2.5 -> 2.5,2.880 -> 2.880,0.0,0.0,0.0,-20.2,-21.2
9230 -> 9230,0.1,1_惰行,2.2 -> 2.2,2.880 -> 2.880,0.0,0.0,0.0,-20.2,-21.2
9240 -> 9240,0.1,1_惰行,2.0 -> 2.0,2.880 -> 2.880,0.0,0.0,0.0,-20.2,-21.2
9250 -> 9250,0.1,1_惰行,1.8 -> 1.8,2.880 -> 2.880,0.0,0.0,0.0,-20.1,-21.1
9260 -> 9260,0.1,1_惰行,1.5 -> 1.5,2.880 -> 2.880,0.0,0.0,0.0,-20.1,-21.1
9270 -> 9270,0.1,1_惰行,1.3 -> 1.3,2.881 -> 2.881,0.0,0.0,0.0,-20.1,-26.1
9280 -> 9280,0.1,1_惰行,1.1 -> 1.1,2.881 -> 2.881,0.0,0.0,0.0,-20.1,-26.1
9290 -> 9290,0.1,0_加速,15.3 -> 15.3,2.881 -> 2.881,0.0,0.0,-0.5,-21.2,-22.7
9300 -> 9300,0.1,1_惰行,15.1 -> 15.1,2.882 -> 2.882,0.0,-2.0,0.0,-21.2,-24.2
9310 -> 9310,0.1,1_惰行,14.8 -> 14.8,2.884 -> 2.884,0.0,0.0,0.0,-21.1,-22.1
9320 -> 9320,0.1,1_惰行,14.6 -> 14.6,2.885 -> 2.885,0.0,0.0,0.0,-21.1,-22.1
9330 -> 9330,0.1,1_惰行,14.3 -> 14.3,2.886 -> 2.886,0.0,0.0,0.0,-21.1,-22.1
9340 -> 9340,0.1,1_惰行,14.0 -> 14.0,2.887 -> 2.887,0.0,0.0,0.0,-21.1,-22.1
9350 -> 9350,0.1,1_惰行,13.8 -> 13.8,2.888 -> 2.888,0.0,0.0,0.0,-21.1,-22.1
9360 -> 9360,0.1,1_惰行,13.5 -> 13.5,2.889 -> 2.889,0.0,0.0,0.0,-21.0,-22.0
